Index of Difficulty,Size (px),Distance (px),Target Position X (px),Target Position Y (px)
5.03121873061072,20,327,1,327
Timestamp (s),Position X (px),Position Y (px)
27.487214700027835,1281,791
27.654265700024553,1281,790
27.65652640000917,1281,789
27.657539200037718,1281,788
27.659236600040458,1281,787
27.66020069998922,1282,786
27.662477600038983,1282,783
27.663502000039443,1283,781
27.665180500014685,1284,779
27.667485299985856,1284,778
27.668497300008312,1285,774
27.669509000028484,1285,773
27.670518100028858,1285,772
27.671191000030376,1286,770
27.672186899988446,1286,769
27.67347640002845,1287,768
27.67466439999407,1287,766
27.675717500038445,1287,765
27.67657519999193,1287,764
27.677489700028673,1288,762
27.678501199989114,1289,760
27.68019510002341,1289,759
27.68119289999595,1290,757
27.68250250001438,1291,755
27.683191600022838,1291,754
27.684494799992535,1291,753
27.685194000019692,1291,752
27.68651160004083,1292,750
27.687464100017678,1292,747
27.689485699986108,1293,745
27.690507200022694,1293,744
27.691875000018626,1294,743
27.692184899991844,1294,740
27.693483799987007,1295,738
27.695489000005182,1295,737
27.696509000030346,1296,734
27.6974901999929,1296,733
27.6981928999885,1297,732
27.69949720002478,1297,731
27.700183500011917,1297,729
27.701193600019906,1298,727
27.70249990001321,1299,726
27.703172800014727,1299,725
27.704480100015644,1299,724
27.705183800018858,1299,722
27.706502699991688,1299,721
27.70719059999101,1299,719
27.708767400006764,1299,718
27.7092043000157,1300,717
27.711519000004046,1300,715
27.71249440003885,1301,714
27.713194700016174,1301,712
27.714490699989256,1301,711
27.716194999986328,1302,708
27.717457199993078,1302,706
27.718180200026836,1302,705
27.71917970001232,1302,704
27.720474200032186,1302,703
27.72118990001036,1303,703
27.722488200000953,1303,701
27.723497099999804,1304,700
27.72463820001576,1304,698
27.72567140002502,1305,697
27.72749640000984,1305,696
27.728192200011108,1305,694
27.729183699993882,1305,693
27.73019229999045,1305,691
27.731500800000504,1305,690
27.733466000005137,1306,688
27.73419270000886,1306,687
27.736463300010655,1306,686
27.737473700020928,1306,684
27.738505500019528,1307,683
27.739462800032925,1307,682
27.740457899984904,1307,680
27.74188630003482,1307,678
27.742218200000934,1308,676
27.74448490003124,1309,674
27.745486200030427,1309,673
27.747508500004187,1309,670
27.74846139998408,1310,670
27.749187000037637,1310,668
27.750198499998078,1311,667
27.751194200012833,1311,666
27.75249949999852,1311,664
27.75319329998456,1312,664
27.754483000026084,1312,662
27.75550100003602,1312,661
27.756504499993753,1312,660
27.757185900001787,1312,658
27.75822319998406,1312,656
27.760488600004464,1312,654
27.76148220000323,1313,654
27.762513599998783,1313,652
27.76319040003,1313,650
27.764479300007224,1313,649
27.7651844000211,1313,648
27.766487299988512,1314,647
27.767462500021793,1314,646
27.76849270000821,1315,644
27.7694671000354,1315,643
27.7701865999843,1315,641
27.772502799984068,1315,640
27.773194600013085,1315,637
27.774679200025275,1316,635
27.775304000009783,1316,633
27.776590100023896,1316,632
27.777199300006032,1316,630
27.778476400009822,1317,629
27.779183400038164,1317,625
27.780193299986422,1317,623
27.781505000020843,1318,622
27.782255100028124,1318,619
27.78349000000162,1319,616
27.784485000011045,1319,615
27.78518519998761,1319,613
27.786508499993943,1320,609
27.787495099997614,1320,608
27.788452200009488,1320,606
27.789175799989607,1321,602
27.790492500003893,1321,601
27.791351000021677,1321,599
27.79264569998486,1322,595
27.79320529999677,1322,594
27.794503399985842,1322,593
27.795510700030718,1322,590
27.796513999986928,1322,587
27.79717770003481,1322,586
27.79849950002972,1322,585
27.79945689998567,1322,582
27.800489499990363,1322,580
27.801498299988452,1322,579
27.802514599985443,1322,577
27.80348669999512,1322,576
27.80418949999148,1322,573
27.80548350000754,1322,571
27.806454800011124,1323,570
27.807509100006428,1323,568
27.808592799992766,1323,567
27.80952080001589,1323,566
27.810198999999557,1323,563
27.811498299997766,1323,561
27.8131934000412,1323,558
27.815482300007716,1324,557
27.816190399986226,1324,555
27.81750830000965,1324,553
27.818504800030496,1324,551
27.819506800035015,1324,549
27.820500700036064,1324,548
27.821462900028564,1324,546
27.82249089999823,1325,544
27.82416870002635,1325,543
27.825704900023993,1325,541
27.826564499991946,1325,540
27.82719730003737,1325,539
27.8281871000072,1325,537
27.830486099992413,1325,536
27.831179800035898,1325,535
27.832193200010806,1325,534
27.833508700015955,1325,533
27.83447050000541,1325,532
27.835193999984767,1325,531
27.837493900035042,1325,530
27.83847290003905,1325,529
27.840515399992,1325,528
27.841808299999684,1325,527
27.843516100023407,1325,526
27.844488900038414,1325,525
27.846518200007267,1326,525
27.849184999999125,1326,524
27.851492499990854,1326,523
27.85349250002764,1326,522
27.856188700010534,1326,521
27.858753200038336,1326,520
27.86250570003176,1326,519
27.864199100004043,1326,518
27.86949180002557,1326,517
27.878511200018693,1326,516
27.88047919998644,1326,515
27.891416200029198,1326,514
27.98564940004144,1326,513
27.99027599999681,1326,512
27.99351250001928,1325,512
27.99451859999681,1325,511
27.99548300000606,1325,510
27.996492600010242,1324,510
27.997510500019416,1323,510
27.99850400001742,1323,509
27.999463799991645,1323,508
28.000509800040163,1322,507
28.00250010000309,1321,506
28.003505400032736,1321,505
28.00418540003011,1320,505
28.005191700009163,1319,505
28.00647200003732,1319,504
28.008229100028984,1318,503
28.009551400027703,1318,502
28.010478100040928,1317,502
28.012200199998915,1317,501
28.013513899990357,1316,501
28.01448240003083,1316,500
28.01548649999313,1315,500
28.017191699997056,1315,499
28.018506499996874,1315,498
28.019505300035235,1314,498
28.020497300021816,1313,497
28.022192700009327,1312,497
28.023485200013965,1312,496
28.02582410001196,1311,496
28.026207400020212,1311,495
28.028188700031023,1311,494
28.030196900013834,1310,493
28.03219860000536,1310,492
28.03856720001204,1309,491
28.039187300018966,1308,491
28.040197300026193,1308,490
28.04180509998696,1307,490
28.048525399994105,1306,489
28.051192599989008,1306,488
28.053482400020584,1305,487
28.060194100020453,1305,486
28.06220470002154,1304,486
28.067504100035876,1303,485
28.070199200010393,1302,485
28.074511700018775,1302,484
28.076494999986608,1300,484
28.078202200005762,1300,483
28.080522900039796,1299,483
28.081512500008103,1299,482
28.084537599992473,1299,481
28.08620439999504,1298,480
28.088503500039224,1297,480
28.091229300014675,1297,479
28.094214999990072,1296,478
28.097191900014877,1294,478
28.100198200030718,1294,477
28.101198100019246,1294,476
28.103517499985173,1294,475
28.105198100034613,1293,475
28.108263300033286,1292,474
28.111518200021237,1292,473
28.11324760003481,1291,473
28.11653290002141,1291,472
28.11748890002491,1290,472
28.119188599986956,1289,471
28.121483099996112,1289,470
28.127496500033885,1289,469
28.129480300005525,1288,468
28.132522300002165,1287,468
28.135189499997068,1287,467
28.140528700023424,1286,467
28.14174340001773,1286,466
28.14352029998554,1286,465
28.144493800005876,1285,465
28.149388600024395,1284,465
28.151029700005893,1284,464
28.15285130002303,1284,463
28.159253999998327,1284,462
28.162504500010982,1284,461
28.164534299983643,1283,461
28.16549230000237,1283,460
28.170531300012954,1282,460
Index of Difficulty,Size (px),Distance (px),Target Position X (px),Target Position Y (px)
5.03121873061072,20,327,-231,-231
Timestamp (s),Position X (px),Position Y (px)
28.762695299985353,1280,800
28.901209000032395,1280,801
28.902192600013223,1279,801
28.903510400035884,1279,802
28.90451960003702,1278,803
28.90549989999272,1278,804
28.90618910000194,1277,805
28.907522000023164,1277,806
28.9081906999927,1277,807
28.90959679998923,1276,808
28.910239899996668,1275,809
28.911511200014502,1275,811
28.912518199998885,1274,812
28.913518799992744,1274,813
28.914498700003605,1273,815
28.916476299986243,1272,816
28.91719770000782,1271,819
28.918516600038856,1270,821
28.91918500000611,1269,821
28.920507900009397,1269,823
28.9215102000162,1268,825
28.922191000019666,1267,826
28.923198400007095,1265,828
28.924464200041257,1264,829
28.925680999993347,1264,830
28.926239099993836,1264,831
28.927528300031554,1263,833
28.92848669999512,1262,835
28.92918869998539,1261,835
28.930485900025815,1261,837
28.931504400039557,1261,839
28.932181800017133,1260,840
28.933465600013733,1259,842
28.934193600027356,1258,844
28.935504499997478,1257,844
28.93650880001951,1256,848
28.938500899996143,1256,849
28.939182700007223,1254,851
28.940175499999896,1254,852
28.941507100011222,1252,855
28.942298499983735,1250,857
28.943220800021663,1250,858
28.94450300000608,1249,860
28.945473700005095,1249,862
28.94619899999816,1247,864
28.94720029999735,1245,867
28.94817270000931,1245,869
28.94946129998425,1244,872
28.950463099987246,1243,872
28.951513200008776,1243,874
28.952493000018876,1242,877
28.953662100015208,1241,878
28.95419329998549,1240,880
28.95549200003734,1239,882
28.95650339999702,1238,884
28.957180500030518,1237,886
28.95863459998509,1237,887
28.959682199987583,1236,889
28.960198700020555,1235,891
28.961500800040085,1234,893
28.962191400001757,1233,895
28.964488100027665,1232,898
28.96518689999357,1231,900
28.966467000020202,1230,901
28.967515700031072,1229,902
28.968481299991254,1229,904
28.969189000024926,1229,906
28.970190300024115,1228,908
28.971498600032646,1227,908
28.97219679999398,1226,909
28.97318189998623,1226,912
28.97565450001275,1225,913
28.9766039000242,1224,915
28.977220400003716,1223,916
28.978205499995966,1223,918
28.979488799988758,1222,918
28.98046200000681,1221,920
28.981516600004397,1220,922
28.98218769999221,1220,923
28.983192100015003,1219,924
28.98450880002929,1219,926
28.98552039999049,1218,926
28.986482200038154,1217,928
28.987462499993853,1216,929
28.98818470002152,1216,930
28.98950640001567,1215,931
28.990478300023824,1215,932
28.99118549999548,1214,932
28.99282119999407,1213,934
28.99451390001923,1213,936
28.995483100006822,1213,937
28.996196100022644,1211,938
28.99750470003346,1210,938
28.998511700017843,1210,939
28.999498400022276,1209,940
29.000197599991225,1209,941
29.00161030003801,1208,942
29.00246960000368,1208,943
29.003193499986082,1207,944
29.004186600039247,1206,945
29.005513500014786,1205,946
29.007189400028437,1203,949
29.008660099992994,1202,949
29.00968290003948,1202,950
29.010544800024945,1201,951
29.01151740003843,1199,953
29.014517700008582,1197,955
29.015186100034043,1196,956
29.017204400035553,1195,957
29.018513999995776,1195,958
29.019497000030242,1194,959
29.020457500009798,1193,959
29.022185200010426,1192,961
29.02347880002344,1191,962
29.02450790000148,1190,962
29.026300100027584,1190,964
29.02750319999177,1189,964
29.028465200040955,1188,965
29.02946150000207,1187,966
29.030199600034393,1187,967
29.03124039998511,1186,967
29.032196999993175,1185,968
29.03351839998504,1185,969
29.03452099999413,1184,970
29.03522180003347,1183,970
29.036213500017766,1182,972
29.03719280002406,1182,973
29.03918329998851,1181,973
29.04019770002924,1180,974
29.04146800003946,1179,976
29.04281280003488,1178,977
29.04320529999677,1177,977
29.0444822999998,1176,978
29.04561080003623,1176,979
29.04618980002124,1175,979
29.04718240001239,1173,980
29.048492300033104,1172,982
29.049517300038133,1171,984
29.050506100000348,1170,984
29.05149480002001,1169,985
29.052198400022462,1169,986
29.053502099995967,1167,987
29.054193800024223,1166,987
29.05519220000133,1165,988
29.05652069998905,1164,990
29.05719770002179,1162,991
29.058193700038828,1161,991
29.05921330000274,1160,992
29.060590300010517,1158,993
29.061496899987105,1157,994
29.062198900035582,1156,995
29.06349130003946,1154,997
29.064460600027815,1153,998
29.06520210002782,1152,999
29.066193100006785,1150,999
29.06749430001946,1148,1001
29.068510300014168,1147,1003
29.069503900012933,1146,1004
29.07019290002063,1144,1005
29.07150250003906,1141,1006
29.073501000006218,1139,1007
29.074506400036626,1136,1008
29.075416000036057,1135,1010
29.076608300034422,1134,1011
29.077204400033224,1132,1011
29.07849799998803,1131,1012
29.079197800019756,1129,1013
29.080501899996307,1127,1014
29.08148260001326,1125,1015
29.08249500003876,1124,1016
29.083499200001825,1122,1017
29.084520800039172,1121,1018
29.085491300036665,1120,1019
29.086194200033788,1119,1020
29.087185300013516,1118,1020
29.088504699990153,1116,1021
